bts_id,latitude,longitude
1104,29.26852777,-103.3024806
1102,29.31329918,-103.6719971
1100,29.32620049,-103.5329971
1101,29.47960091,-103.2139969
241,31.49896431,-111.5490494
270,31.59342003,-111.3180542
1212,31.71813888,-111.7801111
1205,31.8134861,-111.8261337
1204,31.81513977,-112.5568008
285,31.881558,-112.813342
242,31.9115,-111.8835694
185,31.923389,-108.719028
286,31.92798424,-111.7940826
292,32.06051111,-112.5715389
291,32.133261,-112.158978
294,32.20672222,-112.5720833
284,32.26777649,-112.7358322
268,32.35216141,-112.0582352
249,32.36639023,-112.8785019
299,32.368944,-112.471806
236,32.44138718,-110.7788925
297,32.44583511,-112.9536133
189,32.58230209,-108.4251862
152,33.017792,-105.627311
290,33.05144501,-113.1371384
1210,33.10497284,-110.0835266
141,33.16669464,-105.7771378
116,33.19194444,-105.714222
232,33.194658,-110.522319
152,33.222972,-105.741678
233,33.2472229,-110.1938858
152,33.27430555,-105.707388
232,33.3032,-110.469
231,33.34208298,-110.4547501
232,33.35508333,-110.6619667
1206,33.36495972,-110.5882874
118,33.37152863,-105.7490845
163,33.38947296,-105.8107529
225,33.52987671,-111.4027328
280,33.57592392,-111.2530518
131,33.71007156,-108.7653046
272,33.7733345,-113.5938873
150,33.81919479,-108.9453354
275,33.89722061,-112.666832
295,33.91035461,-113.9917603
279,33.9383049,-112.7796936
278,33.96447372,-112.7166138
277,33.96513748,-112.8040314
276,33.97935867,-112.7354965
1231,34.0137425,-112.7918739
274,34.06499863,-113.3555527
230,34.11485291,-110.9324799
1233,34.12501944,-109.9389972
271,34.12691879,-112.9175034
283,34.1922226,-112.7544479
248,34.20583055,-109.942777
244,34.2160759,-113.0662003
273,34.21639,-112.7428
1219,34.33050156,-110.7755814
151,34.34433365,-108.4958344
28,34.41791534,-107.497612
1218,34.91436111,-111.72575
1213,34.9683342,-111.5077744
1800,35.054167,-106.859167
1214,35.19964444,-112.2042056
204,35.240289,-111.597739
10204,35.240289,-111.597739
203,35.24152756,-111.6094437
128,35.265583,-104.215528
1234,35.292806,-109.235139
11234,35.292806,-109.235139
1227,35.29413888,-111.0019167
11227,35.29413888,-111.0019167
213,35.38491821,-111.583725
10213,35.38491821,-111.583725
226,35.39384842,-110.3294754
10226,35.39384842,-110.3294754
252,35.39494705,-110.8817215
289,35.39740372,-110.0947189
10289,35.39740372,-110.0947189
100,35.47117615,-110.1894836
10100,35.47117615,-110.1894836
1243,35.480345,-109.539294
255,35.51655197,-110.4394684
262,35.52480698,-109.8603592
10262,35.52480698,-109.8603592
137,35.55989075,-106.7874603
127,35.55989075,-106.7874603
1801,35.63283333,-108.4625972
240,35.64944458,-112.140274
1244,35.67297369,-109.2079954
1240,35.67512027,-109.047865
11240,35.67512027,-109.047865
261,35.679948,-109.068139
20261,35.679948,-109.068139
140,35.69633333,-106.8590556
101,35.70894444,-109.5315278
10101,35.70894444,-109.5315278
288,35.72196198,-109.4217682
10288,35.72196198,-109.4217682
206,35.74147034,-111.4732742
234,35.74466705,-109.0548019
20234,35.74466705,-109.0548019
221,35.7475,-110.083999
1203,35.74923055,-109.0795306
11203,35.74923055,-109.0795306
1238,35.74978055,-109.8524056
1200,35.75486111,-109.6231389
11200,35.75486111,-109.6231389
1215,35.762,-109.7608889
11215,35.762,-109.7608889
159,35.76636111,-106.6986083
143,35.78583145,-105.7816696
1803,35.808692,-107.301597
1245,35.811968,-109.440511
135,35.82389069,-106.2233353
121,35.82616666,-106.9709722
1239,35.82998611,-110.3881056
146,35.84860992,-105.9925003
260,35.85001111,-111.4396417
10260,35.85001111,-111.4396417
220,35.86899166,-110.5172556
1207,35.86933333,-112.1286389
18,35.87650299,-105.3914642
133,35.8797226,-106.2835007
134,35.88666534,-106.3944168
1235,35.8938,-109.171975
11235,35.8938,-109.171975
132,35.89664078,-106.2950592
6,35.8987236,-105.2607498
263,35.90252686,-109.0333557
10263,35.90252686,-109.0333557
1802,35.9085,-108.774056
267,35.90922222,-110.674166
239,35.94527817,-112.1719437
1242,35.95135,-110.089633
145,35.95357895,-106.0218811
14,35.96,-105.3541
1216,35.96030555,-111.9590722
238,35.97034836,-112.132019
10238,35.97034836,-112.132019
243,35.99376,-111.023339
10243,35.99376,-111.023339
112,35.99575277,-105.2149722
15,36.00522232,-104.7037811
106,36.01469421,-106.0669632
120,36.02236388,-106.9767222
119,36.03339386,-107.0095291
10119,36.03339386,-107.0095291
194,36.03402,-108.970182
10194,36.03402,-108.970182
281,36.0379982,-111.8268356
251,36.054486,-112.139358
5,36.05892944,-105.2440338
148,36.06456757,-108.6855774
105,36.06608333,-105.1247222
254,36.068139,-109.886417
10254,36.068139,-109.886417
253,36.07425,-110.5139444
223,36.07577896,-110.3318863
10223,36.07577896,-110.3318863
147,36.07583237,-107.1378174
215,36.07654572,-111.3857422
